comment,key,operation,latency,protocol,inner_k,inner_n,outer_k,outer_n,num_concurrent
++ python3 scripts/common.py SERVICE_HOST
+ SERVICE=ec2-16-162-3-6.ap-east-1.compute.amazonaws.com
++ python3 scripts/common.py WORK_DIR
+ WORK_DIR=/home/ubuntu
+ cargo build --profile artifact --bin entropy --color never
    Finished artifact [optimized] target(s) in 0.11s
+ rsync target/artifact/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com:/home/ubuntu/entropy
++ python3 scripts/common.py NUM_TOTAL_PEER
+ ssh ec2-16-162-3-6.ap-east-1.compute.amazonaws.com OTEL_SDK_DISABLED=true /home/ubuntu/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com --plaza-service 10000
ready
,ac6a0b0be88abe508006cfa3d79bb35fba4b0c7953aec7a3bd5747f1d98c8e53,repair,2.592671,entropy,32,80,8,10,640
,deba1139ea44ab4ccdcf445a50f76a43f03e70b7db0b47995a8f5331a736e530,repair,2.565347,entropy,32,80,8,10,640
,2d76e463b2efcbee88ec3161a437644b8163b40f1fe077bba44c042162478aaa,repair,2.7452312,entropy,32,80,8,10,640
,042d4e301da2416a2a2ed78b796a039a6ddaae9a920f55152c1198a31026d36c,repair,2.6767187,entropy,32,80,8,10,640
,47ff395ea0102107509af1e9e60068db0ae006bd49e69e59dff22d9de195f1f6,repair,2.5667403,entropy,32,80,8,10,640
,32c989979d08481c55259ca141772b2146aa2c44409458324acdd1f0ac77d6c5,repair,2.5310702,entropy,32,80,8,10,640
,843e2fe5abc35fc7500eff5bb04e82cf0f54478f5d2f4433dfc7d94271c92b31,repair,2.575842,entropy,32,80,8,10,640
,bd49839bce1c62a376a579f16ff3d89d634db7544f2d658d83a2270fd0db9e75,repair,2.5476716,entropy,32,80,8,10,640
,3ef727bba5d64238694ef53f007ce264a00f00a95ba562986e7921fac8b8f98a,repair,2.5500827,entropy,32,80,8,10,640
,ca6fe84d68c193debe06c5da20c5cd56245f06de89df42f91f80e670c49859a8,repair,2.520033,entropy,32,80,8,10,640
,6aa7cad730da9ce0bd75744d4a4ec74232ccdeb78367da9418603620af738706,repair,2.6152937,entropy,32,80,8,10,640
,dbdf610b380545e18945c73b6c9032d65dc271f2a34932c15c9acabc486ad4a7,repair,2.3419952,entropy,32,80,8,10,640
